Date,Season,Year,Type,Country,Source,Age,Sex,State,Location,Fatal Y/N,Activity,Species
17-Sep,,2024,Unprovoked,honduras,daily mail uk: the sun uk:  the world watch,33,M,Trujillo Colon,Puerto Castillo,N,fishing,bull shark
16-Sep,,2024,Unprovoked,morocco,andy currie: moroccan world news: sky news,30,F,Southern Morocco,West of Dakhla,Y,swimming,white shark
26-Aug,,2024,Unprovoked,jamaica,todd smith: daily mail uk: sky news: people .com,16,M,Unknown,Falmouth,Y,fishing,tiger shark
06-Aug,,2024,Unprovoked,belize,kevin mcmurray tracking sharks.com new york post: abc news: the independent:,15,F,Unknown,Central America,N,swimming,reef shark
23-Jul,,2024,Unprovoked,australia,nine.com.au: abc.net.au johannes marchand,23,M,Nsw,"North Shore Beach, Port Macquarie",N,surfing,white shark
18-Jul,,2024,Unprovoked,australia,daily mail: sky news: the west australian,41,M,Western Australia,Trigg beach Sterling,N,surfing,other
08-Jul,Summer,2024,Unprovoked,usa,miami herald,14,M,Florida,Ponce de Leon Inlet Volusia County,N,other,other
08-Jul,,2024,Unprovoked,australia,bob myatt: simon demarchi: abc news,43,M,Western Australia,14 Mile Beach Coral Bay (Gascoyne Region),N,fishing,other
05-Jul,Summer,2024,Unprovoked,usa,sacbee fox 35,26,M,Florida,New Smyrna Beach,N,wading,other
04-Jul,Summer,2024,Unprovoked,usa,nbcdfw,45,F,Texas,South Padre Island,N,swimming,bull shark
04-Jul,Summer,2026,Unprovoked,usa,valley central,18,F,Texas,South Padre Island,N,swimming,other
04-Jul,Summer,2025,Unprovoked,usa,cnn,18,F,Texas,South Padre Island,N,swimming,other
04-Jul,Summer,2024,Unprovoked,usa,click orlando news journal on line,21,M,Florida,New Smyrna Beach,N,other,other
04-Jul,Summer,2024,Unprovoked,usa,brietbart .com,Unknown,M,Florida,New Smyrna Beach Beach Access 14 Volusia County,N,swimming,other
23-Jun,Summer,2024,Unprovoked,usa,cbc news:  sky news: bbc news,49,M,Hawaii,Goat Island (Moku'auia) La'ie Bay,Unknown,surfing,other
07-Jun,Summer,2024,Unprovoked,usa,newsweek.com: spectrunnews: hawaiinewsnow:,25,F,Hawaii,"Haleiwa, Oahu",N,swimming,tiger shark
07-Jun,Summer,2024,Unprovoked,usa,nwfdailynews:wdhn.com,15,F,Florida,Rosemary Beach Walton County,N,wading,bull shark
07-Jun,Summer,2024,Unprovoked,usa,nwfdailynews:wdhn.com,45,F,Florida,Water Sound  Beach Walton County,N,swimming,bull shark
02-Jun,Summer,2024,Unprovoked,usa,abc news san diego: del mar times:,46,M,California,Del Mar Beach San Diego,N,swimming,other
02-Jun,,2024,Unprovoked,maldive islands,www.raajjee.mv: www.edition.mv: www.avas.mv:,23,M,Maahvah Laamu Atoll,Indian Ocean,Y,other,other
28-May,Spring,2024,Unprovoked,usa,abc news: fox 26 houston:,19,F,Galveston,Jamaica Beach,N,wading,other
24-May,,2024,Unprovoked,turks and caicos,cbc news: ctv news atlantic: national post:,27,M,Unknown,Leward reef,N,snorkeling,other
23-May,,2024,Unprovoked,french polynesia,ladbible,20,M,Unknown,Mangareva Atoll,N,other,other
02-May,Spring,2024,Unprovoked,usa,post and courier: fox news: five live news:,65,M,South Carolina,Y-73' Ledge reef Chareston Coast,N,fishing,other
26-Apr,,2024,Unprovoked,tobago,sky news: the guardian:,64,M,Unknown,Turtle beach,N,swimming,bull shark
26-Apr,,2024,Unprovoked,bahamas,usa today: the independent: abc news,24,M,Clarence Town Long Isand,Flying Fish Marina,N,boating,reef shark
20-Apr,,2024,Unprovoked,australia,abc news australia: sky news:,16,M,South Australia,West beach Glenelg,N,fishing,white shark
20-Apr,,2024,Unprovoked,australia,abc news: w.a. today: the west australian: 7 news:,26,M,Western Australia,Lighthouse bombie surf spot Exemouth,N,surfing,other
08-Apr,,2024,Unprovoked,maldive islands,"unn.ua news, kyiv",Unknown,M,Nunu Atoll,Unspecified,N,swimming,other
15-Mar,,2024,Unprovoked,australia,"yahoo news, 3/15/2024",13,F,Queensland,Bargara Beach,N,swimming,tiger shark
04-Mar,Spring,2024,Unprovoked,usa,"surfer, 3/6/2024f",Unknown,M,Hawaii,"Old Man's, Waikiki",N,surfing,tiger shark
02-Mar,Spring,2024,Unprovoked,usa,"hawaii news now, 3/4/2024",11,F,Hawaii,"Rainbows, Oahu",N,swimming,other
25-Feb,,2024,Unprovoked,australia,"wa today, 2/26/2024",46,F,Western Australia,"Sandlnd Island, Jurian Bay",N,swimming,tiger shark
14-Feb,,2024,Unprovoked,india,"times of india, 2/14/2024",32,M,Maharashtra,"Vaitarna River, Palghar District",N,fishing,bull shark
04-Feb,,2024,Provoked,trinidad,"trinidad guardian, 2/11/2014",Unknown,M,Unknown,,N,fishing,reef shark
29-Jan,,2024,Unprovoked,australia,"nine news, 12/31/2024",29,F,New  South Wales,"Elizabeth Bay, Sydney Harbor",N,swimming,bull shark
15-Jan,,2024,Unprovoked,bahamas,"caribbean loop news, 1/15;2024",10,M,Unknown,Paradise Island Resort,N,swimming,other
09-Jan,,2024,Unprovoked,australia,"a. currie, gsaf",64,M,South Australia,"Walkers Beach, Elliston",N,surfing,white shark
05-Jan,,2024,Provoked,south africa,jacaranda fm. 12/6/2024,62,M,Eastern Cape Province,Papiesfontein,N,fishing,other
30-Dec,Winter,2023,Unprovoked,usa,"surfer, 12/31/2023",39,M,Hawaii,"Baby Beach, Maui",Y,surfing,other
29-Dec,,2023,Unprovoked,mexico,"euroeseuro, 12/31/2023",22,M,Sonora,"Tojahui Beach, Yavaros, Huatabampo",Y,other,white shark
28-Dec,,2023,Unprovoked,australia,"s. demarchi, gsaf",15,M,South Australia,Ethel Beach,Y,surfing,white shark
25-Dec,,2023,Unprovoked,australia,"9 news, 12/26/2023",16,M,New South Wales,Old Bar,N,surfing,other
24-Dec,,2023,Unprovoked,australia,"9 news, 12/25/2023",46,M,Western Australia,Wedge Island,N,other,whaler shark
18-Dec,,2023,Unprovoked,new zealand,"nz herald,  12/18/2023",21,F,Unknown,Riverton,N,wading,other
14-Dec,,2023,Unconfirmed,mexico,"el pais, 12/15/2023",66,M,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",Y,swimming,other
14-Dec,,2023,Unconfirmed,mexico,"el pais, 12/15/2023",52,F,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",N,swimming,other
08-Dec,,2023,Unprovoked,australia,"b. myatt, gsaf",20,M,Queensland,1770,N,snorkeling,other
04-Dec,,2023,Unprovoked,bahamas,"nbc news, 12/4/2023",44,F,New Providence   Isoad,Sandals Resort,Y,paddle,other
02-Dec,,2023,Unprovoked,mexico,"news channel 21, 12/3.2023",26,F,Jalisco,San Patricio Melaque,Y,swimming,other
30-Nov,,2023,Unprovoked,australia,"abc net, 11/30/2023",21,M,Queensland,Clack Island,N,swimming,bull shark
21-Nov,,2023,Unprovoked,bahamas,"eye witness news, 11/22/2023",47,F,Unknown,Tiger Beach,Y,other,other
10-Nov,,2023,Unprovoked,australia,s. demarchi. gsaf,32,F,South Australia,Port Noarlunga,N,other,other
15-Sep,Fall,2001,Unprovoked,usa,"g. hock, m. levine, gsaf; orlando sentinel, 9/18/2001, p.d2",Unknown,M,Florida,A quarter mile north of Fort Pierce Inlet,N,other,other
03-Nov,,2023,Unprovoked,australia,"daily mail, 11/3/2023",Unknown,M,Westerm Australia,Peak Island,N,fishing,other
02-Nov,,2023,Unprovoked,new zealand,"nz herald, 11/2/2023",Unknown,M,Unknown,Cape Pallister,N,other,white shark
Unknown,Unknown,2023,Unconfirmed,egypt,"daily mail, 11/2/2023",66,M,Unknown,Fury Shoal,N,other,white shark
31-Oct,,2023,Unprovoked,australia,s. demarchi. gsaf,55,M,South Australia,Streaky Bay,Y,surfing,white shark
25-Oct,Fall,2023,Unprovoked,usa,"surfer, 10/25/2023",30,M,Hawaii,"Pua ena Point,  Haleiwa, Oahu",N,surfing,tiger shark
23-Oct,,2023,Provoked,mexico,tyt newsroom. 10/26/2023,59,M,Quintana Roo,Banco Chinchorro Biosphere Reserve,N,fishing,other
21-Oct,,2023,Watercraft,australia,abc. 10/22/2023,Unknown,M,Western Australia,"Alexander Bay, Esperance",N,fishing,whaler shark
20-Oct,,2023,Unprovoked,belize,c. dinkel,8,F,Belize District,"San Pedro , Ambergris Caye",N,snorkeling,other
15-Oct,Fall,2023,Unprovoked,usa,"kaua'i now, 10/15/2023",50,M,Hawaii,"Hanalei Bay, Kauai",N,surfing,tiger shark
13-Oct,Fall,2023,Unprovoked,usa,"r. collier, gsaf",52,M,California,"Linda Mar, Pacific State Beach, San Mateo County",N,surfing,other
02-Oct,Fall,2023,Unprovoked,usa,"the beat of hawaii, 10/2/2023",45,F,Hawaii,"Paia, Maui",N,surfing,other
01-Oct,,2023,Unprovoked,australia,"b. myatt, gsaf",64,F,South Australia,Beachport,N,swimming,other
01-Oct,Fall,2023,Unprovoked,usa,"sf chronicle, 10/10/2023",52,M,California,"Wildcat Beach, Marin County",Y,swimming,other
18-Sep,Fall,2023,Unprovoked,usa,"c. creswell, gsaf",Unknown,M,South Carolina,"Myrtle Beach, Horry County",N,swimming,other
13-Sep,,2023,Unprovoked,egypt,m. maaty,34,F,South Sinai,Dahab,N,swimming,tiger shark
05-Oct,Fall,1958,Unprovoked,usa,r.f. hutton citing miami herald newspaper library,60,M,Florida,"Baker's Haulover, Miami Beach",N,other,other
25-Oct,Fall,2024,Unprovoked,usa,bob myatt: yardbarker: 12 on your side: wptv: the inertia:,27,M,Florida,"Bathtub Beach, Martin County",N,surfing,tiger shark
09-Sep,,2023,Unprovoked,philippines,"manila bulletin, 9 /10/2023",Unknown,M,Bolinao,"Pangasinan, Ilocos Norte, Luzon Island",Unknown,fishing,other
Unknown,Unknown,2023,Watercraft,coral sea,"b. myatt, gsaf",Unknown,M,Unknown,,N,other,other
02-Sep,Fall,1996,Unprovoked,usa,"s. petersohn, gsaf; orlando sentinel , 9//7/1996; daytona beach news journal, 9/7/1999, p.4c",5,M,Florida,"Behune Beach, Volusia County",N,other,other
28-Sep,Fall,2008,Unprovoked,usa,s. petersohn,40,M,Florida,Bethune Beach,N,surfing,other
25-Aug,,2023,Unprovoked,australia,"b. myatt, & m. michaelson, gsaf",44,M,New South Wales,"Lighthouse Beach, Port Macquarie ",Unknown,surfing,white shark
23-Aug,Summer,2023,Unprovoked,usa,"c. creswell, gsaf",9,Unknown,North Carolina,"Oak Island, Brunswick County",N,wading,other
22-Aug,Summer,2023,Watercraft,usa,"msn, 8/22/2023",19,M,California,"Pebble Beach, San Mateo County",N,fishing,other
21-Aug,,2023,Unconfirmed,bahamas,"the tribune, 8/21/2023",25,M,New Providence   Isoad,"Saunders Beach, Nassau",Unknown,other,other
16-Aug,,2023,Unprovoked,spain,las provincias,35,M,Valencia,Rabdells Beach,N,wading,other
16-Aug,,2023,Provoked,portugal,"portugese resident, 8/17/2023",Unknown,M,Norte, 9 nm off Vila do Conde ,N,fishing,other
12-Aug,,2023,Unprovoked,samoa,"samoa news,8/15/2023",Unknown,M,Unknown,Lano,Y,other,other
07-Aug,Summer,2023,Unprovoked,usa,".s. curatolo- wagemann, gsaff",65,F,New York,Rockaway,N,wading,other
31-Jul,Summer,2023,Unprovoked,usa,"fox35, 7/31/2023",22,M,Florida,"New Smyrna Beach, Volusia County",N,surfing,other
30-Jul,Summer,2023,Unprovoked,usa,"r. babington, gsaf",22,M,Florida,"Anna Maria Island, Manatee County",N,fishing,other
29-Jul,Summer,2023,Unprovoked,usa,"fox12, 8/1/2023",26,F,Florida,Tampa Bay,N,swimming,other
24-Jul,,2023,Unprovoked,australia,"b. myatt, gsaf",Unknown,M,Western Australia,Gnarabup Beach ,N,surfing,other
22-Jul,,2023,Unprovoked,australia,"b. myatt, gsaf",77,M,Western Australia,Yallingup Lagoon,N,snorkeling,other
21-Jul,Summer,2023,Unprovoked,usa,"c. creswell, gsaf",60,M,South Carolina,"Sea Pines Beach, Hilton Head Island, Beaufort County",N,other,other
18-Jul,,2023,Unprovoked,colombia,"la patria, 7/20/2023",38,M,Unknown,Nirvana,N,other,white shark
15-Jul,Summer,2023,Unprovoked,usa,"fox35, 7/15/2023",49,M,Florida,New Smyrna Beach,N,other,other
14-Jul,Summer,2023,Unprovoked,usa,"wesh2, 7/14/2023",21,M,Florida,New Smyrna Beach,N,surfing,other
Unknown,Unknown,2023,Watercraft,south africa,"ladbible, 7/14/2023",Unknown,Unknown,Eastern Cape Province,Chinta East ,N,other,other
04-Jul,,2023,Unprovoked,ecuador,"t. smith, gsaf",42,F,Unknown,Mosquera Islet,N,snorkeling,other
04-Jul,Summer,2023,Unprovoked,usa,"s.s. curatolo- wagemann, gsaff",Unknown,F,New York,"Cherry Grove, Suffolk County",N,other,other
04-Jul,Summer,2023,Unprovoked,usa,"s.s. curatolo- wagemann, gsaff",49,M,New York,"Fire Island Pines, Suffolk County",N,swimming,other
04-Jul,Summer,2023,Unprovoked,usa,"s.s. curatolo- wagemann, gsaff",47,M,New York,"Quogue Village Beach, Suffolk County",N,swimming,other
